coverage: t=8310s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8340s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8370s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8400s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8430s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8460s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8490s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8520s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8550s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8580s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8610s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8640s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8670s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8700s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8730s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8760s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8790s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8820s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8850s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8880s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8910s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8940s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8970s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9000s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9030s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9060s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9090s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9120s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9150s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9180s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9210s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9240s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9270s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9300s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9330s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9360s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9390s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9420s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9450s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9480s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9510s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9540s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9570s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9600s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9630s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9660s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9690s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9720s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=9750s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
